hsk_id,category,name,level,volume,lesson,note
hsk30-g1-001,语素,前缀,1,,,已核·教材未覆盖·走通用库兜底（第=教程2·9，跨册候选）
hsk30-g1-002,语素,后缀,1,,,已核·教材未覆盖·走通用库兜底
hsk30-g1-003,词类,名词,1,标准教程1,11,已核·邻近归属（前=L11、后=L14，其余方位词未覆盖）
hsk30-g1-004,词类,动词,1,标准教程1,6,已核·注释直接命中（会(1)=L6；能=L10、会(2)=L12）
hsk30-g1-005,词类,动词,1,标准教程1,8,已核·注释直接命中（想=L8；要本级未覆盖，教程2·1 跨册候选）
hsk30-g1-006,词类,动词,1,标准教程1,10,已核·邻近归属（可以无专注，归能愿动词教学点：能=L10）
hsk30-g1-007,词类,动词,1,,,已核·教材未覆盖·走通用库兜底（课文复现，无注释定位）
hsk30-g1-008,词类,代词,1,标准教程1,3,已核·注释直接命中（什么=L3；谁/哪=L4、几=L5、怎么=L6、多少=L8、哪儿=L9、怎么样=L12）
hsk30-g1-009,词类,代词,1,,,已核·教材未覆盖·走通用库兜底（L1 起课文贯穿，无注释定位）
hsk30-g1-010,词类,代词,1,,,已核·教材未覆盖·走通用库兜底（这/那课文贯穿，无注释定位）
hsk30-g1-011,词类,数词,1,标准教程1,5,已核·注释直接命中（百以内数字=L5）
hsk30-g1-012,词类,量词,1,标准教程1,8,已核·注释直接命中（量词个/口=L8）
hsk30-g1-013,词类,量词,1,标准教程1,8,已核·邻近归属（借用名量词无专注，归量词教学点 L8）
hsk30-g1-014,词类,量词,1,标准教程1,7,已核·注释直接命中（日/号/年=L7 日期表达；点/分=L11、岁=L5）
hsk30-g1-015,词类,副词,1,标准教程1,6,已核·邻近归属（很随形容词谓语句=L6；太=L12；非常/真未覆盖）
hsk30-g1-016,词类,副词,1,标准教程1,14,已核·注释直接命中（副词都=L14）
hsk30-g1-017,词类,副词,1,标准教程1,13,已核·注释直接命中（在……呢表进行=L13）
hsk30-g1-018,词类,副词,1,,,已核·教材未覆盖·走通用库兜底（再=教程2·8，跨册候选）
